month_year,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
2023-12-01T00:00:00Z,2E5C2BD73EE7D5BA,electric_bike,2023-12-01T12:22:52Z,2023-12-01T12:49:22Z,NA,NA,Racine Ave & Washington Blvd,654,41.88,-87.66,41.883073,-87.656952,casual
2023-12-01T00:00:00Z,C424F62E4DA0543A,classic_bike,2023-12-02T06:34:39Z,2023-12-02T06:42:10Z,Sangamon St & Washington Blvd,13409,Paulina St & Flournoy St,KA1504000104,41.883165,-87.6511,41.87306108789792,-87.66913488507271,member
2023-12-01T00:00:00Z,AB4AE03849E9D013,classic_bike,2023-12-02T16:19:38Z,2023-12-02T16:25:57Z,Broadway & Ridge Ave,15578,Broadway & Granville Ave,15571,41.9840446107,-87.6602738295,41.9947796884,-87.6602845349,member
2023-12-01T00:00:00Z,E30E7EF5C2BE497E,electric_bike,2023-12-03T16:35:06Z,2023-12-03T16:49:18Z,Racine Ave & Belmont Ave,TA1308000019,Clark St & Winnemac Ave,TA1309000035,41.939741,-87.65885233333333,41.97334764047304,-87.6678554713726,member
2023-12-01T00:00:00Z,57485158C764FD4D,classic_bike,2023-12-04T07:27:30Z,2023-12-04T07:34:42Z,Broadway & Argyle St,13108,Ravenswood Ave & Lawrence Ave,TA1309000066,41.973815,-87.65966,41.968445,-87.674226,member
2023-12-01T00:00:00Z,A4B43BDA39CF762C,classic_bike,2023-12-04T08:22:16Z,2023-12-04T08:27:34Z,Indiana Ave & Roosevelt Rd,SL-005,Michigan Ave & Jackson Blvd,TA1309000002,41.867888,-87.623041,41.878005,-87.624144,member
2023-12-01T00:00:00Z,030DCBE45F24689A,electric_bike,2023-12-04T13:50:29Z,2023-12-04T14:02:29Z,Damen Ave & Clybourn Ave,13271,Albany Ave & Bloomingdale Ave,15655,41.93190883333333,-87.677818,41.91402671273,-87.705126462,member
2023-12-01T00:00:00Z,F975025535AB9208,electric_bike,2023-12-04T13:54:15Z,2023-12-04T13:56:59Z,Kingsbury St & Kinzie St,KA1503000043,Sedgwick St & Huron St,TA1307000062,41.88925316666667,-87.63854416666666,41.894666,-87.638437,member
2023-12-01T00:00:00Z,EFD374C1B55EF558,electric_bike,2023-12-06T06:40:26Z,2023-12-06T06:50:32Z,Morgan Ave & 14th Pl,TA1306000002,Franklin St & Monroe St,TA1309000007,41.862435102,-87.651232839,41.880317,-87.635185,member
2023-12-01T00:00:00Z,4386D21CE221B099,classic_bike,2023-12-06T15:24:45Z,2023-12-06T15:36:03Z,Clark St & Armitage Ave,13146,Michigan Ave & Oak St,13042,41.918306,-87.636282,41.90096039,-87.62377664,member
2023-12-01T00:00:00Z,7838418A5FEA0B1B,classic_bike,2023-12-07T13:49:23Z,2023-12-07T14:05:27Z,Emerald Ave & 28th St,TA1307000153,Fort Dearborn Dr & 31st St,TA1307000048,41.84358,-87.645368,41.838556,-87.608218,member
2023-12-01T00:00:00Z,920AA5832F04A7C0,classic_bike,2023-12-08T15:05:43Z,2023-12-08T15:16:29Z,Ellis Ave & 60th St,KA1503000014,Kimbark Ave & 53rd St,TA1309000037,41.78509714636,-87.6010727606,41.799568,-87.594747,member
2023-12-01T00:00:00Z,B8BECA8DBF3A28CE,classic_bike,2023-12-09T02:15:21Z,2023-12-09T07:39:18Z,Wentworth Ave & Cermak Rd*,chargingstx07,Clark St & Chicago Ave,13303,41.853214418519656,-87.63187229633331,41.89675,-87.63089,member
2023-12-01T00:00:00Z,009C543DD5F991F5,electric_bike,2023-12-11T08:47:39Z,2023-12-11T08:53:53Z,NA,NA,Dodge Ave & Church St,600,42.05,-87.68,42.048308,-87.698224,casual
2023-12-01T00:00:00Z,9DC821439BCEDFEE,electric_bike,2023-12-11T15:20:01Z,2023-12-11T15:41:16Z,Franklin St & Lake St,TA1307000111,NA,NA,41.88560866666667,-87.63567233333333,41.93,-87.64,member
2023-12-01T00:00:00Z,8C9CC4A7E20D3634,classic_bike,2023-12-12T08:44:16Z,2023-12-12T09:00:29Z,Michigan Ave & 18th St,13150,Clark St & Lake St,KA1503000012,41.857813,-87.62455,41.88602082773,-87.6308760584,member
2023-12-01T00:00:00Z,7B72D9CF8DBADC6F,electric_bike,2023-12-12T12:18:07Z,2023-12-12T12:53:40Z,NA,NA,NA,NA,41.9,-87.63,41.89,-87.63,member
2023-12-01T00:00:00Z,9069A8959874AB73,classic_bike,2023-12-12T20:26:53Z,2023-12-12T20:49:40Z,Canal St & Monroe St,13056,Stave St & Armitage Ave,13266,41.88169,-87.63953,41.917741,-87.691392,member
2023-12-01T00:00:00Z,0B6901C2F60EA7E7,electric_bike,2023-12-13T17:55:58Z,2023-12-13T18:14:45Z,Dearborn St & Adams St,TA1305000005,Ashland Ave & Grand Ave,13434,41.878925833333334,-87.6294665,41.891072,-87.666611,member
2023-12-01T00:00:00Z,80915D457A33E4C5,electric_bike,2023-12-14T16:28:31Z,2023-12-14T16:30:51Z,Kingsbury St & Kinzie St,KA1503000043,Clinton St & Washington Blvd,WL-012,41.88864183333333,-87.6381475,41.88338,-87.64117,casual
2023-12-01T00:00:00Z,C345EFAA297B1228,classic_bike,2023-12-14T17:00:43Z,2023-12-14T17:09:15Z,Wabash Ave & Wacker Pl,TA1307000131,Wabash Ave & Grand Ave,TA1307000117,41.886875,-87.62603,41.891466,-87.626761,member
2023-12-01T00:00:00Z,0B76006409109B45,electric_bike,2023-12-14T20:35:57Z,2023-12-14T20:39:49Z,State St & 33rd St,13216,NA,NA,41.834742069,-87.625794649,41.83,-87.61,member
2023-12-01T00:00:00Z,7FBCA7F7F481D2E8,electric_bike,2023-12-15T02:21:56Z,2023-12-15T02:43:31Z,State St & Randolph St,TA1305000029,Racine Ave & Congress Pkwy,TA1306000025,41.884526253,-87.627855897,41.87464,-87.65703,casual
2023-12-01T00:00:00Z,F76DECABE8753E0D,electric_bike,2023-12-17T11:42:27Z,2023-12-17T11:47:48Z,Dearborn St & Erie St,13045,Daley Center Plaza,TA1306000010,41.894272666666666,-87.62941966666666,41.884241,-87.629634,casual
2023-12-01T00:00:00Z,7E15E621A9E37427,classic_bike,2023-12-18T18:44:15Z,2023-12-18T19:05:36Z,Rush St & Hubbard St,KA1503000044,Lakeview Ave & Fullerton Pkwy,TA1309000019,41.890173,-87.626185,41.925858,-87.638973,casual
2023-12-01T00:00:00Z,73AF3F13CA27CBD2,classic_bike,2023-12-19T13:57:18Z,2023-12-19T14:06:00Z,Franklin St & Illinois St,RN-,LaSalle St & Jackson Blvd,TA1309000004,41.89102331025185,-87.63547986745834,41.878166,-87.631929,member
2023-12-01T00:00:00Z,E8152C9610D40D6C,electric_bike,2023-12-20T06:37:09Z,2023-12-20T06:40:48Z,Calumet Ave & 33rd St,13217,State St & 35th St,TA1307000129,41.834840775,-87.617898822,41.8310363140161,-87.62679755687714,member
2023-12-01T00:00:00Z,9F7B496B84277FE9,electric_bike,2023-12-20T17:55:09Z,2023-12-20T18:13:53Z,Clinton St & Jackson Blvd,638,Larrabee St & Webster Ave,13193,41.878414512,-87.641305685,41.921822,-87.64414,member
2023-12-01T00:00:00Z,6C8CA2A84ACD5944,classic_bike,2023-12-21T12:26:22Z,2023-12-21T12:33:17Z,LaSalle Dr & Huron St,KP1705001026,Clark St & Randolph St,TA1305000030,41.894877,-87.632326,41.884576228,-87.63188991,member
2023-12-01T00:00:00Z,F49F1D27B00F8FC1,classic_bike,2023-12-22T11:21:39Z,2023-12-22T11:39:45Z,McCormick Place,TA1305000004,Michigan Ave & 14th St,TA1307000124,41.8513751729,-87.6188346489,41.864059,-87.623727,casual
2023-12-01T00:00:00Z,80AE2D2AAC45A221,electric_bike,2023-12-23T09:13:34Z,2023-12-23T09:17:20Z,Kedzie Ave & Milwaukee Ave,13085,NA,NA,41.929669499,-87.708079457,41.93,-87.7,member
2023-12-01T00:00:00Z,45883B8F6290FFE5,electric_bike,2023-12-25T13:12:10Z,2023-12-25T13:24:13Z,NA,NA,NA,NA,41.92,-87.69,41.95,-87.69,member
2023-12-01T00:00:00Z,EFDBB110CC7F7E8B,classic_bike,2023-12-25T13:58:10Z,2023-12-25T14:13:08Z,Franklin St & Jackson Blvd,TA1305000025,Wabash Ave & Adams St,KA1503000015,41.8777079559,-87.6353211408,41.87947235235,-87.6256886059,member
2023-12-01T00:00:00Z,E3AF6A8A68AF3046,classic_bike,2023-12-26T15:24:26Z,2023-12-26T15:28:07Z,Leavitt St & Division St,658,Honore St & Division St,TA1305000034,41.902997,-87.683825,41.903119,-87.673935,member
2023-12-01T00:00:00Z,A41788BDC3E4E054,electric_bike,2023-12-28T08:16:26Z,2023-12-28T08:27:44Z,NA,NA,Clifton Ave & Armitage Ave,TA1307000163,41.9,-87.63,41.918216,-87.656936,member
